"Time (Year)",Median,L,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,1494.468,1240.597,1889.388,1921.778,1611.833,1635.262,1884.853,1508.792,1433.461,1714.239,1562.116,1379.801,1674.277,1449.997,1724.322,1433.191,1455.168,1794.951,1416.478,1210.229,1614.311,1492.951,1342.704,1389.513,1388.578,1792.644,1265.443,1437.49,1714.649,1499.135,1405.971,1366.419,1894.93,1497.566,1495.985,1707.921,1293.198,1386.208,1525.605,1695.335,1333.869,1630.224,1417.837,1407.287,1412.924,1345.064,1515.07,1512.897,1300.999,1594.072,1205.016,1280.873,1613.041
2003,1507.245,1267.722,1873.941,1994.636,1654.931,1577.028,1723.159,1657.549,1456.825,1747.95,1522.198,1278.959,1610.558,1410.654,1719.902,1355.499,1492.34,1847.581,1424.728,1230.953,1704.3,1341.154,1351.351,1356.25,1300.108,1705.284,1355.941,1544.601,1561.725,1570.055,1420.821,1399.908,1906.158,1747.881,1461.429,1702.475,1253.987,1424.781,1652.307,1703.694,1418.12,1590.834,1461.361,1522.149,1395.608,1547.849,1618.488,1423.293,1360.379,1459.637,1346.448,1363.053,1624.13
2004,1512.653,1297.508,1899.122,1948.268,1590.755,1565.393,1839.971,1461.367,1364.679,1716.623,1642.331,1296.262,1593.56,1507.141,1858.911,1598.603,1500.079,1830.228,1361.99,1486.519,1685.559,1604.176,1503.275,1385.277,1493.444,1602.057,1451.17,1538.544,1506.514,1651.223,1414.868,1500.134,2072.169,1590.796,1416.131,1639.742,1371.716,1499.566,1776.122,1772.886,1356.03,1518.166,1693.82,1577.68,1357.657,1479.545,1498.018,1421.595,1298.528,1530.489,1289.619,1401.102,1618.123
2005,1550.035,1288.823,1850.869,1792.302,1560.605,1672.205,1683.53,1548.82,1427.984,1551.249,1651.953,1281.233,1632.807,1336.718,1713.372,1720.19,1441.549,1891.596,1476.463,1295.033,1515.876,1578.177,1482.899,1460.837,1665.434,1628.302,1402.017,1559.18,1604.319,1513.332,1499.235,1421.814,1898.544,1706.078,1383.085,1642.76,1333.011,1397.855,1678.176,1817.546,1367.975,1476.941,1723.263,1632.302,1522.3,1596.322,1640.553,1449.743,1266.056,1641.962,1479.749,1400.288,1525.267
2006,1522.071,1282.502,1853.82,1721.166,1612.041,1541.921,1794.035,1391.488,1312.136,1465.23,1586.306,1279.515,1711.184,1426.656,1656.473,1686.461,1472.995,1959.985,1485.427,1329.009,1571.534,1519.634,1496.142,1284.947,1389.493,1686.234,1497.256,1631.407,1719.76,1665.125,1486.261,1483.124,1832.326,1524.507,1556.139,1580.034,1362.101,1440.774,1561.051,1880.091,1365.635,1396.095,1555.862,1554.776,1627.295,1559.27,1486.504,1389.074,1153.023,1526.657,1405.109,1335.585,1354.164
2007,1477.433,1256.116,1790.49,1747.568,1460.704,1611.492,1784.624,1268.168,1305.04,1503.04,1752.391,1274.984,1553.8,1430.543,1678.488,1797.659,1411.765,1936.425,1505.736,1379.671,1470.014,1502.255,1448.673,1339.242,1310.786,1698.26,1183.938,1511.67,1461.938,1556.645,1327.262,1484.851,1764.043,1563.293,1374.342,1693.804,1384.429,1302.401,1438.32,1746.158,1369.793,1371.64,1675.566,1550.306,1640.263,1410.615,1464.17,1526.032,1241.386,1525.441,1512.141,1299.136,1299.559
2008,1454.125,1211.991,1781.577,1779.647,1411.734,1715.577,1783.936,1332.886,1324.114,1475.854,1659.889,1397.861,1585.337,1255.924,1718.204,1617.125,1477.98,1776.323,1426.691,1451.15,1442.407,1295.474,1358.117,1291.914,1334.083,1606.519,1387.858,1363.589,1548.033,1510.071,1507.963,1553.493,1808.352,1658.512,1399.968,1595.966,1292.091,1406.042,1198.087,1777.357,1369.518,1457.099,1578.11,1537.215,1627.901,1565.455,1354.188,1375.056,1131.025,1627.069,1345.429,1223.366,1350.723
2009,1377.186,1190.621,1798.063,1706.037,1339.286,1633.28,1738.03,1270.505,1296.056,1219.851,1443.879,1259.407,1571.336,1373.045,1583.393,1645.742,1470.406,1824.953,1230.833,1239.183,1458.275,1340.876,1366.419,1275.682,1222.656,1598.272,1370.941,1336.069,1541.919,1513.163,1294.449,1498.913,1857.569,1530.562,1364.017,1776.062,1294.774,1324.931,1154.895,1775.657,1244.276,1269.141,1523.263,1327.894,1508.513,1585.036,1407.916,1422.954,1093.076,1510.442,1381.327,1227.814,1372.985
2010,1351.836,1133.063,1776.616,1793.841,1333.677,1449.574,1762.523,1289.232,1106.827,1201.336,1436.45,1232.568,1474.881,1268.734,1614.435,1984.531,1371.3,1579.6,1285.36,1154.529,1366.45,1377.325,1163.317,1288.648,1250.396,1491.75,1263.47,1340.782,1544.448,1445.55,1250.031,1509.052,1719.767,1642.036,1350.895,1717.907,1339.126,1301.311,1178.147,1760.691,1176.239,1352.776,1289.744,1237.076,1428.114,1417.767,1347.35,1380.706,1027.713,1369.689,1201.839,1192.228,1369.385
2011,1329.868,1063.419,1767.473,1629.242,1169.71,1506.216,1650.272,1365.562,1227.026,1057.602,1240.541,1166.312,1414.26,1147.306,1502.259,1945.643,1310.307,1765.721,1280.086,1063.696,1358.851,1421.082,1193.881,1063.081,1068.622,1484.497,1288.993,1369.484,1504.733,1360.339,1107.772,1519.902,1769.613,1463.095,1348.181,1520.989,1203.629,1311.555,1248.867,1710.958,1221.052,1159.509,1271.003,1237.649,1542.241,1393.427,1434.217,1556.479,1159.692,1293.071,1278.659,1082.069,1390.554
2012,1273.852,981.7932,1764.554,1627.529,1318.504,1672.486,1718.019,1252.62,1187.532,901.6234,1112.772,1114.662,1275.905,1064.073,1309.919,1788.081,1287.38,1800,1219.975,991.132,1375.921,1320.98,1181.16,970.3791,1031.517,1429.168,1259.885,1236.723,1661.825,1497.903,1055.914,1342.232,1745.304,1372.455,1212.307,1636.038,1070.363,1270.213,1360.223,1596.893,1270.535,1152.578,1127.98,1177.984,1634.694,1271.8,1373.505,1401.916,1131.531,1332.335,1276.44,1132.37,1219.383
2013,1259.091,938.2896,1848.788,1643.907,1170.639,1585.43,1568.544,1303.257,988.1019,890.8205,1160.087,1096.4,1159.377,1036.817,1380.634,1810.83,1233.005,1931.148,1266.425,840.894,1257.831,1276.488,1011.845,1037.738,1005.891,1523.916,1260.351,1323.406,1613.532,1289.335,1099.301,1273.307,1895.181,1413.319,1270.477,1399.153,1069.479,1128.157,1488.168,1599.759,1093.324,1043.349,1102.025,1042.888,1430.978,1250.878,1465.255,1461.814,979.6115,1153.485,1312.704,977.128,1079.976
2014,1211.14,939.9688,1687.045,1607.991,1042.82,1413.41,1421.726,1212.034,981.5578,760.3932,1115.259,1039.501,1119.913,910.0403,1423.718,1694.624,1218.469,1942.194,1322.797,989.5935,1273.351,1323.758,1020.998,978.4471,976.0946,1402.296,1349.275,1225.04,1680.843,1233.693,1066.916,1255.098,1677.987,1330.247,1210.246,1352.374,1037.441,1028.72,1519.394,1492.649,1002.225,1104.782,964.4557,1068.634,1495.266,1164.244,1314.583,1453.16,1030.387,1085.309,1207.272,1028.173,1169.909
2015,1158.624,891.1556,1694.823,1644.088,887.4085,1377.924,1373.929,1187.677,894.2214,757.0978,969.2671,1059.504,1069.795,970.802,1256.373,1837.583,1367.49,1756.832,1156.693,1057.718,1303.657,1168.213,1009.139,1123.596,964.0865,1521.734,1204.362,1246.822,1543.513,1241.456,939.1676,1136.309,1577.546,1245.847,1131.154,1294.85,1160.556,986.6232,1423.479,1485.917,969.4619,943.9227,1011.434,1142.941,1462.375,1079.859,1252.625,1294.624,1015.24,1042.221,1216.159,937.0501,1145.019
2016,1132.377,830.1814,1575.729,1559.127,844.2168,1370.062,1337.854,1079.34,999.38,716.0015,1127.741,932.7697,1187.117,1077.97,1163.416,1911.503,1282.426,1516.256,1050.104,904.3866,1209.838,1017.324,1125.867,993.2181,1034.173,1500.352,1279.742,1162.735,1365.94,1198.777,958.2943,1194.916,1596.02,1454.852,1103.169,1215.493,1099.192,961.7561,1137.014,1506.936,890.5592,1099.059,1005.827,1061.848,1452.059,1113.465,1365.502,1252.982,1018.463,1141.695,1200.356,813.0271,1059.052
2017,1077.988,842.0961,1541.847,1422.518,874.7326,1273.565,1415.448,1083.897,867.0875,838.3834,906.9982,958.8018,1203.138,996.5976,1227.659,1901.521,1314.506,1463.585,1077.281,955.4588,1108.417,943.3733,1085.542,873.3719,866.2937,1606.426,1242.538,1151.522,1386.354,1151.491,941.1493,1220.056,1489.009,1409.494,1064.195,1078.695,971.4763,999.5092,1063.579,1403.475,845.1337,1065.114,940.1014,1047.772,1207.13,1123.095,1208.22,1218.93,1057.082,1014.424,1065.756,765.7637,1060.901
2018,1080.173,731.7603,1623.195,1443.763,726.8635,1321.534,1307.542,1154.873,853.5162,717.1601,915.3631,982.5856,1173.446,929.3325,1130.239,1961.246,1190.997,1478.113,979.1602,991.1996,1079.096,1081.25,1009.36,785.863,782.8221,1662.615,1180.724,1215.912,1410.41,1055.613,899.5023,1217.674,1590.942,1351.441,1096.87,1169.591,799.6792,908.8508,1058.41,1365.531,735.7667,1015.181,875.6775,935.7529,1265.682,1138.962,1232.659,1223.076,923.7613,991.4882,1089.5,844.3799,1072.279
2019,1066.665,769.5049,1531.45,1437.902,840.7838,1368.866,1371.504,1084.757,839.366,772.688,1004.743,818.0099,1132.075,957.9991,1290.059,1921.461,1132.857,1408.071,1094.908,1000.343,1146.474,924.7783,983.9485,758.7951,780.68,1624.929,1165.158,1143.639,1454.968,985.2445,834.254,1148.029,1453.946,1338.223,990.1944,1078.235,885.3062,940.1394,1164.102,1276.636,936.0716,991.5602,1055.094,899.7821,1176.782,1109.254,1226.279,1243.984,947.6868,993.6453,1024.2,765.6145,917.842
2020,1036.381,743.9624,1529.513,1632.351,876.2898,1328.996,1395.901,1043.912,894.8759,726.5666,856.5976,888.8989,1272.354,984.601,1150.183,2107.089,1091.513,1392.089,1070.783,918.9887,986.9079,1086.135,963.0028,785.8142,678.015,1423.831,1172.372,1112.003,1284.4,944.9682,844.7565,1142.572,1445.373,1282.217,1029.254,1023.558,932.9218,905.3551,1174.039,1390.651,832.8299,1005.931,1001.828,894.6161,1114.206,1092.171,1086.907,1208.862,1043.509,845.869,926.672,758.1954,873.0939
2021,1015.485,708.4592,1585.561,1657.378,750.0452,1386.621,1331.065,1060.767,801.2443,701.4524,895.2218,854.777,1154.318,955.392,1074.796,1888.565,1144.462,1380.864,980.1003,968.8752,1116.778,1118.584,915.4634,795.4061,672.7363,1526.802,1114.446,1107.814,1326.38,919.8927,749.7966,1208.54,1425.967,1200.306,952.516,924.3471,880.6663,1056.895,1088.86,1231.063,741.8271,1019.787,945.816,801.7593,1176.798,1072.975,1011.183,1177.966,888.5687,941.6494,844.9271,714.1921,850.2656
2022,1033.342,689.8919,1448.422,1408.861,630.95,1281.293,1161.089,1111.841,808.971,738.117,878.3478,927.3706,1180.697,786.791,1256.447,2015.644,1095.879,1352.958,1105.709,924.9652,1041.825,857.7836,912.9428,785.6386,747.479,1415.518,1110.239,983.2688,1264.977,1039.186,880.3391,1102.477,1488.639,1177.211,1103.277,940.9258,914.2085,1005.37,1107.837,1212.888,607.7881,982.406,1027.498,770.3287,1224.412,1101.762,1084.13,1298.585,957.4743,1020.431,970.3858,766.0934,777.6651
2023,999.2164,680.0457,1476.116,1480.983,815.4742,1204.196,1161.932,1085.429,717.4826,755.4356,802.6913,859.6922,1129.164,862.0884,1150.64,1935.209,1215.211,1374.797,1034.521,815.4722,1007.762,891.0982,722.6369,614.5725,781.25,1394.975,1206.013,1160.108,1214.276,1105.738,851.3285,1159.027,1472.135,1166.09,924.1415,887.327,1041.876,926.3434,931.514,1330.933,711.1993,991.0387,986.1712,833.408,1212.349,990.6077,1107.043,1172.143,917.9588,1004.127,994.3059,641.969,898.2107
2024,971.8925,665.8285,1432.232,1352.671,662.7409,1295.844,1381.781,1109.804,668.3547,701.8268,819.8789,826.4108,1079.991,895.4691,1137.024,1912.939,1213.924,1390.542,1058.644,780.0547,968.3434,817.667,813.8569,722.8962,765.7461,1422.329,1258.357,1043.677,1444.335,976.087,929.1005,1088.226,1309.125,1139.962,952.0962,940.6155,945.1462,910.4857,964.1367,1315.849,590.5592,941.048,915.418,712.9414,1167.66,975.4416,1164.794,1249.37,892.6696,1022.169,1067.252,735.4336,900.1327
2025,1019.678,665.2565,1448.799,1461.062,793.6678,1337.521,1281.216,1119.797,734.6459,696.7647,773.6984,910.1131,1029.558,841.2267,1139.263,1899.694,1249.628,1438.766,1115.818,653.6226,1122.398,772.2786,849.7034,702.5851,759.5052,1390.859,1120.69,1004.753,1356.702,856.5356,794.7463,1124.245,1421.504,1089.32,1038.11,1009.798,901.6483,933.4819,1097.189,1240.186,637.7474,882.9307,884.8782,847.9404,1188.852,1116.938,1161.502,1180.446,936.3218,1045.89,926.7255,674.7751,862.069